Matrix_Size,Recursive RLS Sampling,Uniform Sampling,Column Rank Sampling,SVD of X
100,0.002163957920856774,0.00035312504041939974,0.00043708295561373234,0.021202915930189192
200,0.014235042035579681,0.001739167026244104,0.0050247079925611615,0.0018904999596998096
300,0.0048532080836594105,0.003373041981831193,0.0026308749802410603,0.00964508403558284
400,0.5192197919823229,0.0064729590667411685,0.005177709041163325,0.013187416014261544
500,0.7423874159576371,0.016203083912841976,0.011875667027197778,0.02879508293699473
600,0.980136958998628,0.017133957939222455,0.017836667015217245,0.032540917047299445
700,0.9939022499602288,0.029954582918435335,0.049731708015315235,0.06369325006380677
800,1.2563646250637248,0.039969207951799035,0.028992207953706384,0.07580920797772706
900,1.3732589579885826,0.05772033298853785,0.04953133303206414,0.09748500003479421
1000,1.419263374991715,0.04983170796185732,0.07352154108230025,0.11705554206855595
1100,1.4952793749980628,0.07313804095610976,0.06991041696164757,0.15796550002414733
1200,1.4891523749101907,0.08180358307436109,0.09047929104417562,0.16721391608007252
1300,1.6710453749401495,0.10946091706864536,0.11614366609137505,0.21161883301101625
1400,1.5829556670505553,0.10769712494220585,0.10830412502400577,0.24076612503267825
1500,1.644871750031598,0.1384321249788627,0.13644425000529736,0.3185285839717835
1600,1.623557584010996,0.16277883294969797,0.21769783389754593,0.3495712080039084
1700,1.7558775829384103,0.1834059579996392,0.17679162498097867,0.3687087910948321
1800,1.9215416249353439,0.24750158400274813,0.34728979191277176,0.5350041670026258
1900,1.7156300409696996,0.24162658397108316,0.3873131249565631,0.5897212920244783
2000,1.8919452909613028,0.25718945800326765,0.26503479201346636,0.7089008329203352
2100,1.9681189169641584,1.1685870410874486,0.3097542910836637,0.9860017499886453
2200,2.0943734999746084,0.33119954098947346,0.34190954198129475,0.9137980000814423
2300,2.0569124160101637,0.35410466708708555,0.38033820898272097,0.9288404160179198
2400,2.0658098330022767,0.41994820802938193,0.40804079198278487,1.0509040839970112
2500,2.22100387501996,0.4692997910315171,0.45988004107493907,1.1880074170185253
2600,2.342818500008434,0.4949112080503255,0.45696887490339577,1.1758556249551475
2700,2.2405996250454336,0.5108547499403358,0.48256174998823553,1.3278187919640914
2800,2.260194499976933,0.5530671660089865,0.49939604196697474,1.5395134999416769
2900,3.0141055829590186,0.6168422920163721,0.5793187080416828,1.6182182499906048
3000,2.332153792027384,0.7215463750762865,0.5962477499851957,1.9432402080856264
3100,2.5649738329229876,1.062223249929957,0.6807877500541508,2.0160232910420746
3200,2.4420652909902856,0.6878260410157964,0.7257578750140965,2.1297244579764083
3300,2.6805052909767255,0.9078507500234991,0.8505884580081329,2.5368655410129577
3400,3.100741583039053,1.2937969589838758,1.3830530419945717,3.447250665980391
3500,3.4960582919884473,1.182277417043224,1.2658469999441877,4.445101125049405
3600,3.1328275420237333,0.9291125419549644,0.9254697080468759,3.2977400000672787
3700,3.3015668749576434,1.227966042002663,1.1350053329952061,4.450853375019506
3800,3.7676298749865964,1.571855833986774,1.6290428340435028,5.612933541066013
3900,4.766187750035897,1.6477789590135217,1.2940360420616344,5.277339791064151
4000,3.1120468330336735,1.4132897920208052,1.3396946659777313,6.978907541022636
4100,3.634600625024177,1.7794434580719098,1.6440047500655055,7.53683783300221
4200,3.397398249944672,1.4173289170721546,1.4537474589888006,7.937676375033334
4300,3.4044488329673186,1.3788519999943674,1.3807160829892382,7.128897667047568
4400,3.4955723750172183,1.4764542919583619,1.4843437089584768,5.834092166973278
4500,3.5295720829162747,1.7047260410618037,1.5580541669623926,6.238731916062534
4600,3.726297958055511,2.5346124169882387,2.1653200840810314,6.469077124958858
4700,4.5398306250572205,2.2785752080380917,1.9375528750242665,10.038716249982826
4800,3.8846140829846263,1.776283625047654,1.7515882919542491,7.082246791920625
4900,4.769085665931925,1.914437458035536,1.9110639159334823,8.522475624922663
5000,4.155665792059153,2.095231666928157,1.986399709014222,9.602261208929121
